country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Afghanistan,Asia,55901,2451.0,49499.0,3951.0,1084.0,1414,62.0,313982.0,7944.0,39525709
Albania,Europe,114209,1969.0,76784.0,35456.0,46.0,39716,685.0,490642.0,170621.0,2875632
Algeria,Africa,114543,3022.0,79319.0,32202.0,19.0,2580,68.0,,,44391836
Andorra,Europe,11089,112.0,10685.0,292.0,17.0,143361,1448.0,193595.0,2502844.0,77350
Angola,Africa,21114,516.0,19677.0,921.0,10.0,629,15.0,402283.0,11987.0,33559691
Anguilla,North America,18,,18.0,0.0,,1192,,9742.0,645379.0,15095
Antigua And Barbuda,North America,862,22.0,455.0,385.0,45.0,8753,223.0,16075.0,163223.0,98485
Argentina,South America,2162001,53252.0,1956591.0,152158.0,3525.0,47537,1171.0,7791570.0,171318.0,45480270
Armenia,Asia,175538,3237.0,165259.0,7042.0,,59162,1091.0,757660.0,255358.0,2967055
Aruba,North America,8177,77.0,7893.0,207.0,11.0,76365,719.0,110382.0,1030856.0,107078
Australia,Australia/Oceania,29074,909.0,26209.0,1956.0,,1131,35.0,14733958.0,573248.0,25702606
Austria,Europe,481919,8776.0,449053.0,24090.0,315.0,53300,971.0,5828023.0,644571.0,9041707
Azerbaijan,Asia,237260,3250.0,229915.0,4095.0,,23257,319.0,2663151.0,261045.0,10201873
Bahamas,North America,8642,185.0,7483.0,974.0,1.0,21833,467.0,70352.0,177737.0,395821
Bahrain,Asia,127800,474.0,121106.0,6220.0,56.0,73380,272.0,3226434.0,1852557.0,1741611
Bangladesh,Asia,553105,8496.0,506613.0,37996.0,,3336,51.0,4197970.0,25317.0,165814495
Barbados,North America,3333,37.0,2915.0,381.0,,11588,129.0,130960.0,455328.0,287617
Belarus,Europe,297514,2055.0,288049.0,7410.0,,31492,218.0,5025044.0,531909.0,9447182
Belgium,Europe,791171,22327.0,53650.0,715194.0,436.0,68062,1921.0,9837669.0,846302.0,11624300
Belize,North America,12345,316.0,11957.0,72.0,2.0,30666,785.0,88587.0,220060.0,402558
Benin,Africa,6338,81.0,5383.0,874.0,35.0,514,7.0,514906.0,41729.0,12339141
Bermuda,North America,724,12.0,690.0,22.0,,11655,193.0,179210.0,2884947.0,62119
Bhutan,Asia,868,1.0,866.0,1.0,,1116,1.0,544778.0,700741.0,777431
Bolivia,South America,255621,11858.0,199842.0,43921.0,71.0,21696,1006.0,764495.0,64887.0,11782012
Bosnia And Herzegovina,Europe,138542,5345.0,119135.0,14062.0,,42410,1636.0,694132.0,212486.0,3266726
Botswana,Africa,32912,413.0,27765.0,4734.0,1.0,13805,173.0,846715.0,355163.0,2384019
Brazil,South America,11125017,268568.0,9843218.0,1013231.0,8318.0,52084,1257.0,28600000.0,133897.0,213596922
British Virgin Islands,North America,153,1.0,131.0,21.0,,5038,33.0,13223.0,435411.0,30369
Brunei Darussalam,Asia,191,3.0,183.0,5.0,,434,7.0,107803.0,244811.0,440352
Bulgaria,Europe,266805,10902.0,217518.0,38385.0,497.0,38599,1577.0,1778810.0,257340.0,6912303
Burkina Faso,Africa,12187,143.0,11860.0,184.0,,572,7.0,,,21292809
